tratto	data	larghezza
7	2015-09-12	830.49
8	2015-09-12	959.47
9	2015-09-12	967.85
10	2015-09-12	818.21
11	2015-09-12	583.33
12	2015-09-12	345.91
13	2015-09-12	555.38
14	2015-09-12	790.97
15	2015-09-12	924.08
16	2015-09-12	779.51
17	2015-09-12	909.03
18	2015-09-12	861.7
19	2015-09-12	747.66
20	2015-09-12	668.74
21	2015-09-12	702.4
22	2015-09-12	519.25
23	2015-09-12	254.82
1	2015-10-22	378.19
2	2015-10-22	425.16
3	2015-10-22	446.66
4	2015-10-22	433.77
5	2015-10-22	508.31
6	2015-10-22	723.34
7	2015-10-22	833.44
8	2015-10-22	964.63
9	2015-10-22	974.92
10	2015-10-22	826.46
11	2015-10-22	598.54
12	2015-10-22	357.04
13	2015-10-22	559.57
14	2015-10-22	798.08
15	2015-10-22	938.06
16	2015-10-22	787.19
17	2015-10-22	913.57
18	2015-10-22	867.7
19	2015-10-22	752.96
20	2015-10-22	675.73
21	2015-10-22	720.75
22	2015-10-22	535.22
23	2015-10-22	275.65
1	2016-09-13	363.84
2	2016-09-13	405.03
3	2016-09-13	438.2
4	2016-09-13	427.71
5	2016-09-13	501.38
6	2016-09-13	720.07
7	2016-09-13	829.62
8	2016-09-13	960.04
9	2016-09-13	971.03
10	2016-09-13	812.22
11	2016-09-13	582.85
12	2016-09-13	356.07
13	2016-09-13	555.81
14	2016-09-13	792.19
15	2016-09-13	939.82
16	2016-09-13	782.76
17	2016-09-13	913.52
18	2016-09-13	869.55
19	2016-09-13	752.05
20	2016-09-13	676.73
21	2016-09-13	697.48
22	2016-09-13	510.05
23	2016-09-13	258.15
1	2017-04-21	365.25
2	2017-04-21	402.45
3	2017-04-21	440.36
4	2017-04-21	428.16
5	2017-04-21	502.36
6	2017-04-21	724.04
7	2017-04-21	829.91
8	2017-04-21	959.78
9	2017-04-21	972.14
10	2017-04-21	819.47
11	2017-04-21	586.58
12	2017-04-21	357.78
13	2017-04-21	556.11
14	2017-04-21	795.34
15	2017-04-21	964.5
16	2017-04-21	791
17	2017-04-21	921.19
18	2017-04-21	871.55
19	2017-04-21	749.82
20	2017-04-21	678.11
21	2017-04-21	699.9
22	2017-04-21	518.44
23	2017-04-21	271.99
1	2017-06-13	363.61
2	2017-06-13	404.77
3	2017-06-13	442.13
4	2017-06-13	430.85
5	2017-06-13	507.57
6	2017-06-13	726.01
7	2017-06-13	830.04
8	2017-06-13	963.08
9	2017-06-13	969.84
10	2017-06-13	810.02
11	2017-06-13	582.89
12	2017-06-13	356.7
13	2017-06-13	558.66
14	2017-06-13	796.15
15	2017-06-13	963.24
16	2017-06-13	786.56
17	2017-06-13	921.59
18	2017-06-13	874.53
19	2017-06-13	749.78
20	2017-06-13	680.15
21	2017-06-13	700.24
22	2017-06-13	519.43
23	2017-06-13	265.14
1	2018-06-15	nan
2	2018-06-15	nan
