tratto	data	rapp_isl
18	2015-10-22	0.020771244
19	2015-10-22	0.099064468
20	2015-10-22	0.026353433
21	2015-10-22	0.221726665
22	2015-10-22	0.03169692
23	2015-10-22	0.003574468
1	2016-09-13	0.041640379
2	2016-09-13	0.035538687
3	2016-09-13	0.033424783
4	2016-09-13	0.022161538
5	2016-09-13	0.035820662
6	2016-09-13	0.046712081
7	2016-09-13	0.073454254
8	2016-09-13	0.06147651
9	2016-09-13	nan
10	2016-09-13	0.290590334
11	2016-09-13	0.263645656
12	2016-09-13	0.013709549
13	2016-09-13	0.040866434
14	2016-09-13	0.0710214
15	2016-09-13	0.035023474
16	2016-09-13	0.021005985
17	2016-09-13	0.027439814
18	2016-09-13	0.022232297
19	2016-09-13	0.095288881
20	2016-09-13	0.033840576
21	2016-09-13	0.241559677
22	2016-09-13	0.057575758
23	2016-09-13	0.016902944
1	2017-04-21	0.048392165
2	2017-04-21	0.059987846
3	2017-04-21	0.028619529
4	2017-04-21	0.0186759
5	2017-04-21	0.030626613
6	2017-04-21	0.034657572
7	2017-04-21	0.070773854
8	2017-04-21	0.060204082
9	2017-04-21	nan
10	2017-04-21	0.239658619
11	2017-04-21	0.243279843
12	2017-04-21	0.011264477
13	2017-04-21	0.039644454
14	2017-04-21	0.068878857
15	2017-04-21	0.029552594
16	2017-04-21	0.018708355
17	2017-04-21	0.024875494
18	2017-04-21	0.0196121
19	2017-04-21	0.098874523
20	2017-04-21	0.032291667
21	2017-04-21	0.2263979
22	2017-04-21	0.035633163
23	2017-04-21	0.007590133
1	2017-06-13	0.037194865
2	2017-06-13	0.029864917
3	2017-06-13	0.027463065
4	2017-06-13	0.017620686
5	2017-06-13	0.027370214
6	2017-06-13	0.029553707
7	2017-06-13	0.0703125
8	2017-06-13	0.060426033
9	2017-06-13	nan
10	2017-06-13	0.290059116
11	2017-06-13	0.267375307
12	2017-06-13	0.005251432
13	2017-06-13	0.035121051
14	2017-06-13	0.060067879
15	2017-06-13	0.02482746
16	2017-06-13	0.015005298
17	2017-06-13	0.020682046
18	2017-06-13	0.013577108
19	2017-06-13	0.093763081
20	2017-06-13	0.027329872
21	2017-06-13	0.215724852
22	2017-06-13	0.041941197
23	2017-06-13	0.007078393
1	2018-06-15	nan
2	2018-06-15	nan
3	2018-06-15	nan
4	2018-06-15	nan
5	2018-06-15	nan
6	2018-06-15	nan
7	2018-06-15	0.092282533
8	2018-06-15	0.085486389
9	2018-06-15	nan
10	2018-06-15	0.313678266
11	2018-06-15	0.270482573
12	2018-06-15	0.012449113
13	2018-06-15	0.045007575
14	2018-06-15	0.07893039
15	2018-06-15	nan
16	2018-06-15	nan
17	2018-06-15	nan
18	2018-06-15	nan
19	2018-06-15	nan
20	2018-06-15	nan
21	2018-06-15	nan
22	2018-06-15	nan
23	2018-06-15	nan
1	2018-09-16	0.052559088
2	2018-09-16	0.054576747
3	2018-09-16	0.040055504
4	2018-09-16	0.031312599
5	2018-09-16	0.043721622
6	2018-09-16	0.064363771
7	2018-09-16	0.079322817
8	2018-09-16	0.072550168
9	2018-09-16	nan
10	2018-09-16	0.326119344
11	2018-09-16	0.276984345
12	2018-09-16	0.013320494
13	2018-09-16	0.040632299
14	2018-09-16	0.073189159
15	2018-09-16	0.02796194
16	2018-09-16	0.018970034
17	2018-09-16	0.03440699
18	2018-09-16	0.022503211
19	2018-09-16	0.116863486
20	2018-09-16	0.07050548
21	2018-09-16	0.278711536
22	2018-09-16	0.092005029
23	2018-09-16	0.039471234
